Drug_ID,Protein_ID
DB01115,1577
DB01126,1577
DB01166,1577
DB01167,1577
DB01174,1577
DB01181,1577
DB01184,1577
DB01190,1577
DB01211,1577
DB01216,1577
DB01217,1577
DB01218,1577
DB01222,1577
DB01224,1577
DB01229,1577
DB01232,1577
DB01234,1577
DB01238,1577
DB01248,1577
DB01254,1577
DB01259,1577
DB01267,1577
DB01268,1577
DB01380,1577
DB01384,1577
DB01388,1577
DB02520,1577
DB04855,1577
DB04856,1577
DB04946,1577
DB04957,1577
DB06119,1577
DB06176,1577
DB06228,1577
DB06267,1577
DB06287,1577
DB06335,1577
DB06403,1577
DB06412,1577
DB06413,1577
DB06419,1577
DB06448,1577
DB06595,1577
DB06605,1577
DB06626,1577
DB06652,1577
DB06654,1577
DB06697,1577
DB06730,1577
DB06731,1577
DB06772,1577
DB06789,1577
DB08820,1577
DB08865,1577
DB08873,1577
DB08883,1577
DB08899,1577
DB08901,1577
DB08906,1577
DB08970,1577
DB08971,1577
DB09053,1577
DB09054,1577
DB09061,1577
DB09065,1577
DB09068,1577
DB09074,1577
DB09095,1577
DB09102,1577
DB09231,1577
DB09241,1577
DB09256,1577
DB09297,1577
DB09383,1577
DB11487,1577
DB11574,1577
DB11586,1577
DB11633,1577
DB11689,1577
DB11703,1577
DB11712,1577
DB11737,1577
DB11750,1577
DB11757,1577
DB11761,1577
DB11837,1577
DB11915,1577
DB11921,1577
DB11951,1577
DB12070,1577
DB12130,1577
DB12161,1577
DB12301,1577
DB12332,1577
DB12483,1577
DB13003,1577
DB13179,1577
DB13208,1577
DB13609,1577
DB13728,1577
DB13843,1577
DB13867,1577
DB13943,1577
DB13944,1577
DB13946,1577
DB13952,1577
DB13953,1577
DB13954,1577
DB13955,1577
DB13956,1577
DB14011,1577
DB14185,1577
DB14512,1577
DB14538,1577
DB14539,1577
DB14540,1577
DB14541,1577
DB14542,1577
DB14543,1577
DB14544,1577
DB14631,1577
DB14633,1577
DB14634,1577
DB14635,1577
DB14644,1577
DB14646,1577
